Z
0
0
0
0
-2.92347e-21
0
-1.4541e-21
1.36665e-21
-2.72917e-21
0
3.88971e-21
0
1.22172e-21
1.19463e-21
1.22461e-21
0
0
0
0
-8.41059e-21
-1.02111e-21
0
0
0
0
3.76424e-21
0
-1.74559e-21
0
0
-1.68851e-21
0
0
0
-1.43558e-21
0
2.85324e-21
-1.50793e-21
-4.14866e-21
0
-2.66497e-21
0
3.85411e-21
-3.82763e-21
2.49768e-21
4.72021e-21
1.14008e-21
-3.45736e-21
0
2.24478e-21
-6.52567e-21
-2.57396e-23
-2.57396e-23
8.2653e-21
-2.57396e-23
-2.57396e-23
-8.11652e-21
-3.67014e-21
-2.57396e-23
7.2618e-21
-3.43307e-21
-2.57396e-23
-2.57396e-23
-2.57396e-23
-2.57396e-23
3.02025e-21
-3.32256e-21
-2.57396e-23
-2.57396e-23
-5.91352e-21
-2.57396e-23
-2.57396e-23
1.10252e-20
-2.57396e-23
-5.00453e-21
-2.57396e-23
-2.57396e-23
-2.3532e-21
-4.57745e-21
2.51802e-21
-3.44103e-22
-6.72754e-21
2.92624e-22
-4.09475e-21
-2.57396e-23
-2.57396e-23
3.77859e-21
2.92624e-22
-3.98161e-21
-2.57396e-23
-2.57396e-23
-1.4266e-20
3.29974e-21
-3.44103e-22
1.015e-20
-6.24406e-21
-2.57396e-23
-2.99856e-21
2.88117e-21
-2.8682e-21
-5.11643e-21
-1.50711e-20
-6.21715e-23
-6.21715e-23
-6.21715e-23
-6.21715e-23
8.8827e-21
-6.21715e-23
-4.33849e-21
-6.21715e-23
2.10661e-20
-8.74277e-21
-6.21715e-23
-2.36834e-20
-1.56987e-20
7.2482e-21
-6.21715e-23
-1.05469e-20
-6.21715e-23
6.22147e-22
-6.21715e-23
6.32806e-21
-6.21715e-23
-6.21715e-23
-6.21715e-23
-6.21715e-23
-6.21715e-23
-6.21715e-23
-1.09863e-20
-6.21715e-23
1.03829e-20
-5.85324e-21
-6.21715e-23
-6.21715e-23
3.47284e-20
-6.21715e-23
9.06821e-21
-6.21715e-23
-1.38415e-20
-6.21715e-23
1.73165e-20
2.51085e-20
-6.21715e-23
-1.63549e-20
2.73313e-20
1.92771e-20
-7.35871e-21
-6.21715e-23
-6.21715e-23
-6.88408e-21
-1.49462e-20
7.14713e-21
0
-2.19097e-20
-6.68221e-21
-6.53406e-21
-2.69653e-20
2.01511e-20
-1.29223e-20
-5.97358e-21
0
-1.21275e-20
1.117e-20
-1.09223e-20
-1.67245e-20
0
1.02118e-20
7.0426e-22
0
0
9.33589e-21
0
-2.74838e-20
0
7.0426e-22
0
-1.70259e-20
0
0
0
-8.16503e-21
-1.45907e-20
0
0
-1.36416e-20
0
0
-6.37711e-21
-1.31757e-20
6.09746e-21
3.71822e-20
1.30687e-20
1.71025e-20
0
0
7.0426e-22
-2.08473e-20
-1.01925e-20
-2.06374e-20
-1.04498e-20
-1.13698e-20
1.06487e-20
2.34191e-20
-4.69092e-22
9.92546e-21
1.04102e-20
8.75443e-21
-1.23331e-20
-3.11235e-20
1.81154e-20
-1.02705e-20
-1.89538e-20
-4.69092e-22
-1.18431e-21
7.83771e-21
-1.18431e-21
-1.18431e-21
-1.18431e-21
-2.39671e-20
-8.6102e-21
-1.6422e-20
-1.53848e-20
-1.18431e-21
-1.89953e-21
4.07917e-20
-1.18431e-21
-1.18431e-21
2.46129e-22
2.30915e-20
-1.18431e-21
-1.18431e-21
3.42911e-20
-2.33778e-20
-1.89953e-21
-1.25097e-20
2.09959e-20
9.67577e-21
-1.18431e-21
-2.61475e-21
-1.18431e-21
-1.18431e-21
-2.07528e-20
-1.18431e-21
-1.8527e-20
-1.18431e-21
-1.18431e-21
-3.57591e-20
6.74321e-21
5.85223e-21
-1.18431e-21
-9.99398e-21
5.77507e-20
3.87513e-20
2.84031e-22
3.43026e-20
-1.63481e-20
8.41573e-21
2.84031e-22
2.84031e-22
2.84031e-22
1.72833e-21
2.84031e-22
3.0161e-20
2.84031e-22
2.89142e-20
1.72833e-21
2.77221e-20
2.84031e-22
2.84031e-22
-2.25746e-20
-1.16027e-21
-2.43975e-20
2.84031e-22
-1.22694e-20
2.84031e-22
4.56605e-20
2.84031e-22
3.21969e-20
2.84031e-22
-9.4268e-21
2.84031e-22
-3.83003e-20
1.98866e-20
-1.00381e-20
2.84031e-22
1.87054e-20
